alg,trialType,trial_index,episodes,duration
Monte Carlo,0,0,175,253.9797167778015
Monte Carlo,0,1,13,20.03475069999695
Monte Carlo,0,2,91,142.27238178253174
Monte Carlo,0,3,37,55.84679937362671
Monte Carlo,0,4,170,251.22176098823547
Monte Carlo,0,5,357,485.8513240814209
Monte Carlo,0,6,155,229.4157223701477
Monte Carlo,0,7,63,100.43517684936523
Monte Carlo,0,8,70,102.1945013999939
Monte Carlo,0,9,23,39.063082456588745
Monte Carlo,0,0,296,396.4713258743286
Monte Carlo,0,1,91,130.96115398406982
Monte Carlo,0,2,21,36.80758476257324
Monte Carlo,0,3,105,167.05631518363953
Monte Carlo,0,4,183,265.76157879829407
Monte Carlo,0,5,144,202.8673758506775
Monte Carlo,0,6,605,857.7433779239655
Monte Carlo,0,7,83,159.05310034751892
Monte Carlo,0,8,21,31.56333303451538
Monte Carlo,0,9,1058,1505.7219924926758
Monte Carlo,0,0,146,197.83805060386655
Monte Carlo,0,1,34,60.86912941932678
Monte Carlo,0,2,348,494.1590664386749
Monte Carlo,0,3,138,184.332058429718
Monte Carlo,0,4,161,244.96857285499573
Monte Carlo,0,5,201,312.3257639408112
Monte Carlo,0,6,907,1278.645883560181
Monte Carlo,0,7,438,645.3950188159943
Monte Carlo,0,8,29,49.10220956802368
Monte Carlo,0,9,157,227.67442417144773
Monte Carlo,0,0,16,28.54874348640442
Monte Carlo,0,1,432,607.1369197368622
Monte Carlo,0,2,775,1110.2040176391602
Monte Carlo,0,3,181,269.46234011650085
Monte Carlo,0,4,284,425.4793622493744
Monte Carlo,0,5,26,36.56727075576782
Monte Carlo,0,6,284,400.5064175128937
Monte Carlo,0,7,56,81.40713572502136
Monte Carlo,0,8,168,251.98045778274536
Monte Carlo,0,9,11,29.052327871322632
Monte Carlo,1,0,15,20.28653240203857
Monte Carlo,1,1,33,65.36841487884521
Monte Carlo,1,2,211,431.5107560157776
Monte Carlo,1,3,76,132.47384333610535
Monte Carlo,1,4,84,183.31736516952515
Monte Carlo,1,5,38,85.90230989456177
Monte Carlo,1,6,22,44.328980922698975
Monte Carlo,1,7,79,156.28916096687317
Monte Carlo,1,8,320,710.4534065723419
Monte Carlo,1,9,71,143.99238777160645
Monte Carlo,1,0,85,189.3513617515564
Monte Carlo,1,1,94,193.3542778491974
Monte Carlo,1,2,20,38.81979107856751
Monte Carlo,1,3,51,104.19342970848083
Monte Carlo,1,4,227,474.402449131012
Monte Carlo,1,5,404,839.5500648021698
Monte Carlo,1,6,21,45.06947731971741
Monte Carlo,1,7,151,300.26677441596985
Monte Carlo,1,8,72,137.00226402282715
Monte Carlo,1,9,18,43.84407496452332
Monte Carlo,1,0,14,34.06172442436218
Monte Carlo,1,1,103,224.41245007514956
Monte Carlo,1,2,51,98.9176106452942
Monte Carlo,1,3,11,17.772766590118408
Monte Carlo,1,4,135,285.9905288219452
Monte Carlo,1,5,55,131.9989447593689
Monte Carlo,1,6,579,1084.881403207779
Monte Carlo,1,7,303,631.5961635112762
Monte Carlo,1,8,45,93.40824937820436
Monte Carlo,1,9,220,437.77014422416687
Monte Carlo,1,0,23,40.58273458480835
Monte Carlo,1,1,39,86.64825558662415
Monte Carlo,1,2,27,59.85914492607117
Monte Carlo,1,3,137,266.239452123642
Monte Carlo,1,4,25,52.3421266078949
Monte Carlo,1,5,24,54.86248207092285
Monte Carlo,1,6,33,53.86208653450012
Monte Carlo,1,7,89,174.08440804481506
Monte Carlo,1,8,398,769.9358506202698
Monte Carlo,1,9,75,142.0150182247162
