alg,trialType,trial_index,episodes,duration
Q-Learning,0,0,343,480.215734
Q-Learning,0,1,287,410.8764474
Q-Learning,0,2,526,731.5784144
Q-Learning,0,3,192,266.8612804
Q-Learning,0,4,441,605.2948365
Q-Learning,0,5,739,1045.959521
Q-Learning,0,6,528,759.4702332
Q-Learning,0,7,357,487.5567856
Q-Learning,0,8,533,751.5846701
Q-Learning,0,9,329,471.7441733
Q-Learning,0,10,983,1334.918771
Q-Learning,0,11,302,405.1786182
Q-Learning,0,12,807,1130.379481
Q-Learning,0,13,405,571.6284127
Q-Learning,0,14,934,1274.411963
Q-Learning,0,15,384,533.072192
Q-Learning,0,16,82,127.2075884
Q-Learning,0,17,183,263.6865873
Q-Learning,0,18,174,229.3416464
Q-Learning,0,19,286,393.84571
Q-Learning,0,20,607,876.6013341
Q-Learning,0,21,511,711.3212473
Q-Learning,0,22,159,223.0807939
Q-Learning,0,23,429,618.7061777
Q-Learning,0,24,585,787.9860694
Q-Learning,0,25,423,598.6834748
Q-Learning,0,26,201,279.1779392
Q-Learning,0,27,122,174.0949614
Q-Learning,0,28,859,1166.761444
Q-Learning,0,29,717,1024.331426
Q-Learning,0,30,106,160.5013719
Q-Learning,0,31,773,1081.415203
Q-Learning,0,32,249,344.5239742
Q-Learning,0,33,612,844.0853405
Q-Learning,0,34,151,217.1206243
Q-Learning,0,35,304,444.2219548
Q-Learning,0,36,324,450.9690375
Q-Learning,0,37,598,867.1266067
Q-Learning,0,38,402,592.9070477
Q-Learning,0,39,461,646.4997723
Q-Learning,1,0,19,41.96973038
Q-Learning,1,1,15,25.79719806
Q-Learning,1,2,10,18.0263319
Q-Learning,1,3,24,50.57880878
Q-Learning,1,4,20,41.32109737
Q-Learning,1,5,19,26.28893805
Q-Learning,1,6,19,34.55570269
Q-Learning,1,7,14,26.79405737
Q-Learning,1,8,13,29.55153537
Q-Learning,1,9,16,25.04046321
Q-Learning,1,10,8,15.76692557
Q-Learning,1,11,22,43.31848979
Q-Learning,1,12,18,30.29346108
Q-Learning,1,13,19,36.30888987
Q-Learning,1,14,15,30.79909015
Q-Learning,1,15,12,19.2840538
Q-Learning,1,16,21,40.30344272
Q-Learning,1,17,13,18.77848101
Q-Learning,1,18,18,29.046875
Q-Learning,1,19,20,30.55505252
Q-Learning,1,20,15,28.04584336
Q-Learning,1,21,13,25.7848289
Q-Learning,1,22,18,31.29689884
Q-Learning,1,23,13,27.28124022
Q-Learning,1,24,35,52.82415724
Q-Learning,1,25,6,10.26784921
Q-Learning,1,26,11,22.79493284
Q-Learning,1,27,22,39.06654215
Q-Learning,1,28,15,31.29990792
Q-Learning,1,29,14,28.54362869
Q-Learning,1,30,16,30.5474422
Q-Learning,1,31,18,33.80637765
Q-Learning,1,32,19,38.55868673
Q-Learning,1,33,9,17.02422404
Q-Learning,1,34,17,32.05307984
Q-Learning,1,35,16,25.52743793
Q-Learning,1,36,30,58.34683394
Q-Learning,1,37,24,39.05736923
Q-Learning,1,38,14,22.54191136
Q-Learning,1,39,13,22.53567171
