alg,trialType,trial_index,episodes,duration
Monte Carlo,0,0,86,130.954119682312
Monte Carlo,0,1,128,201.55446004867557
Monte Carlo,0,2,208,303.7442524433136
Monte Carlo,0,3,143,212.5951716899872
Monte Carlo,0,4,185,254.17038488388064
Monte Carlo,0,5,380,599.7951028347015
Monte Carlo,0,6,488,738.3585519790649
Monte Carlo,0,7,284,425.73427295684814
Monte Carlo,0,8,684,989.1382932662964
Monte Carlo,0,9,158,242.4504487514496
Monte Carlo,0,0,198,310.7566058635712
Monte Carlo,0,1,89,137.48061990737915
Monte Carlo,0,2,215,325.27767395973206
Monte Carlo,0,3,154,207.80495929718015
Monte Carlo,0,4,87,109.92953038215636
Monte Carlo,0,5,431,610.0024418830872
Monte Carlo,0,6,77,112.9412121772766
Monte Carlo,0,7,195,362.3514127731323
Monte Carlo,0,8,59,97.1763424873352
Monte Carlo,0,9,406,565.300799369812
Monte Carlo,0,0,213,296.72129106521606
Monte Carlo,0,1,285,414.17116713523865
Monte Carlo,0,2,70,113.44328808784483
Monte Carlo,0,3,411,667.342072725296
Monte Carlo,0,4,341,497.08788442611694
Monte Carlo,0,5,258,372.135703086853
Monte Carlo,0,6,728,1056.7380657196045
Monte Carlo,0,7,509,731.5516386032104
Monte Carlo,0,8,9,22.545905590057373
Monte Carlo,0,9,73,108.45249319076538
Monte Carlo,0,0,133,232.87925744056705
Monte Carlo,0,1,110,151.24296379089355
Monte Carlo,0,2,126,202.83297181129456
Monte Carlo,0,3,223,371.0963878631592
Monte Carlo,0,4,212,290.2226598262787
Monte Carlo,0,5,390,573.6969318389893
Monte Carlo,0,6,40,74.87735056877136
Monte Carlo,0,7,91,137.22506475448608
Monte Carlo,0,8,149,248.14629983901975
Monte Carlo,0,9,352,524.9225687980652
Monte Carlo,1,0,164,378.68050146102905
Monte Carlo,1,1,391,814.2301096916199
Monte Carlo,1,2,125,254.67931509017944
Monte Carlo,1,3,115,228.1605875492096
Monte Carlo,1,4,331,697.9770846366882
Monte Carlo,1,5,465,978.5220880508424
Monte Carlo,1,6,132,236.20268392562863
Monte Carlo,1,7,264,573.8023715019226
Monte Carlo,1,8,27,54.10323190689087
Monte Carlo,1,9,229,449.8480317592621
Monte Carlo,1,0,104,193.8552541732788
Monte Carlo,1,1,111,223.14489126205444
Monte Carlo,1,2,162,339.41390657424927
Monte Carlo,1,3,72,116.72121357917786
Monte Carlo,1,4,287,560.4775383472443
Monte Carlo,1,5,46,100.18307209014893
Monte Carlo,1,6,70,149.774804353714
Monte Carlo,1,7,171,356.9461934566498
Monte Carlo,1,8,8,12.272068738937378
Monte Carlo,1,9,153,303.8284161090851
Monte Carlo,1,0,400,856.865157365799
Monte Carlo,1,1,354,721.2901411056519
Monte Carlo,1,2,125,250.9707036018372
Monte Carlo,1,3,87,172.81565523147583
Monte Carlo,1,4,151,291.2608802318573
Monte Carlo,1,5,138,290.2662479877472
Monte Carlo,1,6,331,649.672158241272
Monte Carlo,1,7,27,52.5914888381958
Monte Carlo,1,8,45,108.42774510383606
Monte Carlo,1,9,27,43.82327842712402
Monte Carlo,1,0,55,122.71571469306946
Monte Carlo,1,1,130,266.4626994132996
Monte Carlo,1,2,234,497.4676432609558
Monte Carlo,1,3,167,303.7514636516571
Monte Carlo,1,4,321,631.4204587936401
Monte Carlo,1,5,35,70.63019442558289
Monte Carlo,1,6,138,331.6505424976349
Monte Carlo,1,7,126,223.15969681739807
Monte Carlo,1,8,126,279.0111041069031
Monte Carlo,1,9,38,78.62357425689697
